?Region,?Maker,?Model,?Model year,?Supplier
China,Geely,Boyue X (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Boyue X (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Haoyue (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Haoyue (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,Haoyue L (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,Haoyue L (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Geely,JiaJi L (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Geely,JiaJi L (FF) (China),2023,"Ningbo Geely Royal Engine Parts Co., Ltd."
China,Great Wall,Tank 500 48V Mild Hybrid (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Tank 500 Hi4-T (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Cool Dog (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Cool Dog (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Dargo 2nd-Generation PHEV (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Fierce Dragon (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval Fierce Dragon MAX (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H5 (FR) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H5 (FR) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H5 Diesel (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H5 Diesel (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H5 Gasoline (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6 PHEV (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6S (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6S (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H6S (FF) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
China,Great Wall,Haval H9 (4WD) (China),2023,"Chengdu Zhengheng Auto Parts Co., Ltd."
