supplier_id,supplier_name,parent_company
323,Denso Manufacturing Italia S.p.A.,Denso
324,"Denso Manufacturing Tennessee, Inc.",Denso
325,Denso Mexico S.A. de C.V.,Denso
326,Denso do Brasil Ltda.,Denso
327,Detroit Diesel Corporation,
328,"Dias Automotive Electronic Systems Co., Ltd.",
329,Divgi TorqTransfer Systems Limited,
330,"Dong Yang Piston Co., Ltd.",
331,"DongSeo Machine & Tools Co., Ltd.",
332,"Dongfeng Faurecia (Xiangyang) Emissions Systems Co., Ltd",Dongfeng
333,Dongfeng Honda,Dongfeng
334,"Dongfeng Honda Auto Parts Co., Ltd.",Dongfeng
335,"Dongfeng Honda Engine Co., Ltd.",Dongfeng
336,"Dongguan Tongjin Electrical Appliance Technology Co., Ltd.",
337,"Donghee Slovakia, s.r.o.",
338,"Dongsuh Federal-Mogul Co., Ltd.",
339,"Dongwon SK, s.r.o",
340,"Dongying Xinyi Automobile Fitting Co., Ltd.",
341,Dowlais Group plc,
342,Dumarey Powerglide Strasbourg SAS (Formerly Punch Powerglide Strasbourg SAS),
343,Dynamatic Technologies Ltd- JKM Ferrotech Limtied (Formerly Dynamatic Technologies Ltd. - JKM Automotive),
344,Dynax Corporation,Dynax
345,"Dynax Industry (Shanghai) Co., Ltd.",Dynax
346,EFC International,
347,"ESTRA Automotive Systems Co., Ltd. (Formerly erae Automotive Systems Co., Ltd.)",
348,"EXEDY (Thailand) Co., Ltd.",Exedy
349,EXEDY Corporation,Exedy
350,EXEDY DYNAX Mexico S.A de C.V.,Exedy
351,EXEDY India Ltd. - Greater Noida Plant,Exedy
352,Ebersp?cher Gruppe GmbH & Co. KG,
353,Eisenwerk Bruehl GmbH,
354,ElringKlinger AG,ElringKlinger
355,ElringKlinger Italia Srl,ElringKlinger
356,ElringKlinger do Brasil Ltda.,ElringKlinger
357,Emitec Emission Control Technologies India Pvt. Ltd. (Formerly Continental Automotive Components India Pvt. Ltd.),
358,Endurance Technologies Ltd.,
359,Enoki Corporation,
360,Estas Eksantrik San. Ve Tic. A.S.,
361,"Exedy Chongqing Co., Ltd.",Exedy
362,"Exedy Dynax (Shanghai) Co., Ltd.",Exedy
363,"Exquisite Automotive Parts (Thailand) Co., Ltd.",Exquisite
364,"Exquisite Automotive Systems Co., Ltd. Baoding Xushui EA Chassis Branch",Exquisite
365,Exro Technologies - Dandenong South (Formerly SEA Electric Pty Ltd.),
366,"Ezaki Industrial (Thailand) Co., Ltd.",
367,"F.C.C. Co., Ltd.",
368,F.S. Fehrer Automotive GmbH,
369,"FAW Foundry Co., Ltd.",FAW Group
370,"FAW Foundry Co., Ltd. Chengdu Non-Ferrous Casting Branch",FAW Group
371,"FAW Foundry Co., Ltd. Second Foundry Plant",FAW Group
372,"FAW Koyo Steering Systems Co., Ltd.",FAW Group
373,"FAW Toyota Engine (Tianjin) Co., Ltd. (Formerly Tianjin FAW Toyota Engine Co., Ltd.)",FAW Group
374,"FAW-Tokico Shock Absorber Co., Ltd.",FAW Group
375,FAW-Volkswagen,FAW Group
376,FAWER Automotive Parts Limited Company,Fawer
377,"FCC (Adams), LLC.",FCC
378,"FCC (North America), Inc.",FCC
379,"FCC (Thailand) Co., Ltd.",FCC
380,"FCC Automotive Parts De Mexico, S.A. de C.V.",FCC
381,FCC Clutch India Private Limited (Formerly FCC India Manufacturing Pvt. Ltd.),FCC
382,FEMALK Zrt. - Dunavars?ny Plant,
383,FMI Automotive Components Pvt. Ltd.,
384,FORVIA SE (FORVIA faurecia) (Formerly Faurecia SE),Forvia
385,FPT Industrial S.p.A.,
386,"FTE Mexicana, S.A. de C.V. (Valeo Mexico Puebla)",FTE
387,FTE automotive GmbH,FTE
388,FTE automotive USA Inc.,FTE
389,Farplas Otomotiv A.?. (Farplas Automotive Inc.) (Formerly Farplas Otomotiv Yedek Parcalari Imalati Iharacati A.?.),Farplas
390,"Faurecia (Chengdu) Emission Control Technologies Co., Ltd.",Faurecia
391,"Faurecia (China) Holding Co., Ltd.",Faurecia
392,"Faurecia (Guangzhou) Automotive Systems Co., Ltd. Chengdu Branch",Faurecia
393,"Faurecia (Guangzhou) Automotive Systems Co., Ltd. Dongguan Branch",Faurecia
394,"Faurecia (Guangzhou) Automotive Systems Co., Ltd. Sanshui Branch",Faurecia
395,"Faurecia (Qingdao) Exhaust Systems Co., Ltd.",Faurecia
396,Faurecia Automotive Czech Republic s.r.o.,Faurecia
397,Faurecia Clean Mobility - Augsburg,Faurecia
398,Faurecia Clean Mobility - Chakan,Faurecia
399,Faurecia Clean Mobility - Chennai,Faurecia
400,Faurecia Clean Mobility - Toledo,Faurecia
401,Faurecia Clean Mobility - Troy,Faurecia
402,"Faurecia Clean Mobility, Limeira Ltda.",Faurecia
403,"Faurecia Components P?sek, s.r.o.",Faurecia
404,"Faurecia Emissions Control Systems Korea Co., Ltd.",Faurecia
405,"Faurecia Emissions Control Technologies (Beijing) Co., Ltd.",Faurecia
406,"Faurecia Emissions Control Technologies (Chongqing) Co., Ltd.",Faurecia
407,"Faurecia Emissions Control Technologies (Nanchang) Co., Ltd.",Faurecia
408,"Faurecia Emissions Control Technologies (Ningbo) Co., Ltd.",Faurecia
409,"Faurecia Emissions Control Technologies (Thailand) Co., Ltd.",Faurecia
410,"Faurecia Emissions Control Technologies (Yantai) Co., Ltd.",Faurecia
411,"Faurecia Emissions Control Technologies Development (Shanghai) Co., Ltd.",Faurecia
412,"Faurecia Exhaust Mexicana, S.A. de C.V.",Faurecia
413,"Faurecia Exhaust Systems Changchun Co., Ltd.",Faurecia
414,Faurecia Exhaust Systems s.r.o.,Faurecia
415,"Faurecia Honghu Exhaust Systems Shanghai Co., Ltd.",Faurecia
416,"Faurecia Tongda Exhaust System (Wuhan) Co., Ltd.",Faurecia
417,"Fawer Automotive Parts Co., Ltd. Pump Branch Company",Fawer
418,"Fawer Y-Tec Automotive Chassis System Co., Ltd. (Formerly Changchun Tower Golden Ring Automotive Products Co. Ltd.)",Fawer
419,"Federal-Mogul (China) Co., Ltd.",Federal-Mogul
420,Federal-Mogul Automotive Products India Pvt. Ltd (Formerly Federal-Mogul Goetze India),Federal-Mogul
421,Federal-Mogul Bremsbelag GmbH (Formerly Honeywell Friction Materials Germany GmbH),Federal-Mogul
422,Federal-Mogul Corporation Pistons,Federal-Mogul
423,Federal-Mogul Holdings LLC,Federal-Mogul
424,Federal-Mogul Wiesbaden GmbH,Federal-Mogul
425,"Feilong Auto Components Co., Ltd. (Formerly Henan Xixia Auto Water Pump Co., Ltd.)",
426,"Figure Intelligent Technology Co., Ltd.",
427,"FinDreams Powertrain Co., Ltd.",FinDreams
428,"FinDreams Technology Co., Ltd.",FinDreams
429,"Fine Sinter Co., Ltd.",
430,"Firestone Industrial Products Company, LLC",
431,Fleetwood Metal Industries Inc.,
432,Flex-N-Gate Corporation,Flex N Gate
433,Flex-N-Gate S.A.S.U.,Flex N Gate
434,Foma S.p.A.,
435,Ford,Ford
436,"Foshan Fengfu Auto Parts Co., Ltd.",
437,"Foshan J.B. Automotive Products Co., Ltd.",
438,"Foshan Kanemitsu Automoive Parts Co., Ltd.",
439,"Foton ZF LCV Automated Transmission (Jiaxing) Co., Ltd.",Foton
440,"Fox Factory, Inc. - Gainesville Facility",
